Industry,Business Name,Category,Address,Council Area,Suburb,Google Maps,Website,Email,Phone,Latitude,Longitude,Permanently Closed,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Assistive Hearing Loop,Family-Friendly,LGBTQ+ Friendly (Likely),Sensory Sensitivity (Loud),Sensory Sensitivity (Quiet),Wheelchair Accessible (Likely),Wheelchair Accessible Entrance,Wheelchair Accessible Parking Lot,Wheelchair Accessible Restroom,Wheelchair Accessible Seating,Reviews Count,Total Score
Food & drink,Silver Service Hospitality Supplies,Restaurant supply store,"9/55 Graham Ct, Hoppers Crossing VIC 3029, Australia",Wyndham,Hoppers Crossing,https://www.google.com/maps/search/?api=1&query=Silver%20Service%20Hospitality%20Supplies&query_place_id=ChIJowGge-WI1moR1FyUC8W8Ymo,https://www.sshospitality.com.au/,,+61 3 9369 9634,-37.8720359,144.7284698,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,11.0,4.2
Services,OrderBuddy,Computer support and services,"Level 17, Tower 4/727 Collins St, Docklands VIC 3008, Australia",Melbourne,Docklands,https://www.google.com/maps/search/?api=1&query=OrderBuddy&query_place_id=ChIJn0PF5ORD1moRmn7ViymdgBc,http://www.orderbuddy.com.au/,,+61 3 8419 0898,-37.8208055,144.95017,False,,,,,,,,,,,,,,,,,,14.0,4.7
Food & drink,Shamma Food and Catering Pty Ltd,Takeout Restaurant,"Unit 1/11 Wigstone St, Noble Park VIC 3174, Australia",Greater Dandenong,Noble Park,https://www.google.com/maps/search/?api=1&query=Shamma%20Food%20and%20Catering%20Pty%20Ltd&query_place_id=ChIJC8rBZ2UT1moRxCGb2auCI3U,,,+61 404 897 013,-37.9688258,145.1812446,False,,,,,,,,,,,,,,,,,,226.0,4.8
Food & drink,Ball Court Hotel,Pub,"60 Macedon St, Sunbury VIC 3429, Australia",Hume,Sunbury,https://www.google.com/maps/search/?api=1&query=Ball%20Court%20Hotel&query_place_id=ChIJi143CLT51moRFFCuRtMtK1s,https://www.ballcourthotel.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_13672060065789047555,,+61 3 9744 1310,-37.581203,144.736294,False,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 11 PM,11 AM to 12 AM,11 AM to 12 AM,11 AM to 10 PM,,True,,True,,True,True,True,True,,1167.0,4.2
Health & wellness,Beau's Ranch,Massage therapist,,Kingston,,https://www.google.com/maps/search/?api=1&query=Beau's%20Ranch&query_place_id=ChIJC-1QW-FuamcRadHJAdfpdAE,https://www.beausbodyworks.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=325350868180931564,,+61 467 827 555,-37.9579086,145.0531353,False,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,,,True,,,,,,,,6.0,4.7
Other,Hadi Hospitality,,"Unit 9/11 Friars Rd, Moorabbin VIC 3189, Australia",Kingston,Moorabbin,https://www.google.com/maps/search/?api=1&query=Hadi%20Hospitality&query_place_id=ChIJGz1mIw9s1moR9ZBoQ-aDfrA,https://hadihospitality.com.au/contact/,,+61 425 833 264,-37.9452675,145.0625325,False,,,,,,,,,,,,,,,,,,,
Food & drink,The Veera's Food Corner,Indian takeaway,"330 Hume Hwy, Craigieburn VIC 3064, Australia",Hume,Craigieburn,https://www.google.com/maps/search/?api=1&query=The%20Veera's%20Food%20Corner&query_place_id=ChIJtSnaZhRT1moR9h3AttgfK8A,https://www.instagram.com/veeramirchi/,,+61 448 768 697,-37.6139095,144.9475649,False,6 AM to 10 PM,6:10 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,6 to 10 PM,6 to 10 PM,Closed,,,,,,True,True,True,,,71.0,4.2
Food & drink,The Bakeshop,Bakery,"Bldg D/555 La Trobe St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=The%20Bakeshop&query_place_id=ChIJ7TaR1khd1moR333Ilj08K_E,https://www.angliss.edu.au/restaurants-events/angliss-dining/angliss-bakeshop/,,+61 3 9606 2409,-37.8131013,144.9526428,False,4 to 5 PM,4 to 5 PM,4 to 5 PM,4 to 5 PM,4 to 5 PM,Closed,Closed,,,,,,True,True,,,,17.0,4.1
Food & drink,Seng's Kitchen 點都好,Restaurant,"34 Tunstall Square, Doncaster East VIC 3109, Australia",Manningham,Doncaster East,https://www.google.com/maps/search/?api=1&query=Seng's%20Kitchen%20%E9%BB%9E%E9%83%BD%E5%A5%BD&query_place_id=ChIJhTaoG4451moRqyqEXTG8BNU,https://sengskitchen.tuckerfox.com.au/,,+61 430 018 280,-37.7920261,145.170064,False,"11 AM to 3 PM, 5 to 9 PM","11 AM to 3 PM, 5 to 9 PM",Closed,"11 AM to 3 PM, 5 to 9 PM","11 AM to 3 PM, 5 to 9 PM","11 AM to 3 PM, 5 to 9 PM","11 AM to 3 PM, 5 to 9 PM",,True,,,,True,,True,,,221.0,4.6
Shopping,Hotel Agencies,Countertop store,"298 Nicholson St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=Hotel%20Agencies&query_place_id=ChIJhQGFAydD1moRgd3_5ry1giU,https://hotelagenciesrestaurantsupplies.com.au/,,+61 3 9411 8888,-37.7961425,144.9754638,False,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,9 AM to 1:30 PM,Closed,,,,,,True,True,True,,,191.0,4.8
Lodging,Liberty One Apartments,Hotel,"9 Neilson Pl, Footscray VIC 3011, Australia",Maribyrnong,Footscray,https://www.google.com/maps/search/?api=1&query=Liberty%20One%20Apartments&query_place_id=ChIJp6J-bJpd1moRINHUarFfHfU,https://www.sungrass.com.au/property/liberty-one/,,+61 1300 588 858,-37.7994472,144.9075147,False,,,,,,,,,,True,,,,,,,,412.0,3.4
Other,JBS Hospitality Group,Function room facility,"10 Brighton Rd, St Kilda East VIC 3183, Australia",Port Phillip,St Kilda East,https://www.google.com/maps/search/?api=1&query=JBS%20Hospitality%20Group&query_place_id=ChIJ5ekFum5o1moRq7nK6so70Cs,http://www.jbshospitality.com.au/,,,-37.8724075,144.9903572,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,5.0,2.6
Lodging,Astra Apartments Glen Waverley @Osullivan RD,Hotel,"Unit 23/54 Osullivan Rd, Glen Waverley VIC 3150, Australia",Monash,Glen Waverley,https://www.google.com/maps/search/?api=1&query=Astra%20Apartments%20Glen%20Waverley%20%40Osullivan%20RD&query_place_id=ChIJgZW0jQc_1moRUXQ5S19zvg4,https://www.astraapartments.com.au/locations/melbourne/glen-waverley/?utm_source=google&utm_medium=GMB&utm_campaign=glen-waverley,,+61 432 540 728,-37.8786804,145.1650843,False,,,,,,,,,,,,,,,,,,24.0,4.9
Food & drink,The Veera's Food Corner,Indian takeaway,"330 Hume Hwy, Craigieburn VIC 3064, Australia",Hume,Craigieburn,https://www.google.com/maps/search/?api=1&query=The%20Veera's%20Food%20Corner&query_place_id=ChIJtSnaZhRT1moR9h3AttgfK8A,https://www.instagram.com/veeramirchi/,,+61 448 768 697,-37.6139095,144.9475649,False,6 AM to 10 PM,6:10 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,6 to 10 PM,6 to 10 PM,Closed,,,,,,True,True,True,,,71.0,4.2
Entertainment & recreation,Club Italia Sporting Club,Event venue,"128/132 Furlong Rd, St Albans VIC 3021, Australia",Brimbank,St Albans,https://www.google.com/maps/search/?api=1&query=Club%20Italia%20Sporting%20Club&query_place_id=ChIJbVBPefJf1moRBhs6pPQXYxE,https://www.clubitaliasportingclub.com.au/,,+61 3 9367 4187,-37.7604729,144.8192858,False,10 AM to 12 AM,10 AM to 12 AM,10 AM to 12 AM,10 AM to 1 AM,10 AM to 2 AM,10 AM to 2 AM,10 AM to 12 AM,,True,,,,True,True,True,True,,712.0,4.3
Services,Zebs Design Studio,Interior designer,,Bayside,,https://www.google.com/maps/search/?api=1&query=Zebs%20Design%20Studio&query_place_id=ChIJ5b9klm43I4wRA53chdpy0Ac,https://zebsdesignstudio.com.au/,,+61 413 304 031,-37.9725665,145.0531353,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,,,,,,11.0,5.0
Lodging,Rowville International Hotel,Hotel,"1233 Stud Rd, Rowville VIC 3178, Australia",Knox,Rowville,https://www.google.com/maps/search/?api=1&query=Rowville%20International%20Hotel&query_place_id=ChIJI1m7lwUW1moR1euAlrnvkgg,http://www.rowvilleinternational.com.au/,,+61 3 9764 5050,-37.9308906,145.233538,False,,,,,,,,,,,,,,,,,,317.0,4.1
Automotive,Ultra Tune Glen Waverley,Mechanic,"Cnr Waverley & Aristoc Rds, Glen Waverley VIC 3150, Australia",Monash,Glen Waverley,https://www.google.com/maps/search/?api=1&query=Ultra%20Tune%20Glen%20Waverley&query_place_id=ChIJtTnIvuk_1moRVD-7SFNHhYA,https://www.ultratune.com.au/stores/ultra-tune-glen-waverley/?utm_term=plcid_7419961546558174304&utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Ultra%20Tune%20Glen%20Waverley%20-%20GLEN%20WAVERLEY,,+61 3 9561 5044,-37.8878653,145.1572697,False,8 AM to 5:30 PM,8 AM to 5:30 PM,8 AM to 5:30 PM,8 AM to 5:30 PM,8 AM to 5:30 PM,8 AM to 12 PM,Closed,,,,,,True,True,True,,,178.0,4.7
Business & manufacturing,Gourmet Saba,Food products supplier,"48A Radford Rd, Reservoir VIC 3073, Australia",Darebin,Reservoir,https://www.google.com/maps/search/?api=1&query=Gourmet%20Saba&query_place_id=ChIJo6SdKdhE1moR_8mqjx9slDY,http://www.gourmetsaba.com/,,+61 1300 366 347,-37.7077064,144.984085,False,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,Closed,Closed,,,,,,,,,,,34.0,3.2
Food & drink,Grupo Cultural E Folclorico Sol de Portugal,Restaurant,"Unit 6/15 Brex Ct, Reservoir VIC 3073, Australia",Darebin,Reservoir,https://www.google.com/maps/search/?api=1&query=Grupo%20Cultural%20E%20Folclorico%20Sol%20de%20Portugal&query_place_id=ChIJa8FDoz9F1moRtfCvk1q21e4,,,+61 3 8413 0739,-37.70797,144.981094,False,Closed,Closed,Closed,Closed,Closed,6 PM to 12 AM,Closed,,True,,,,True,True,True,True,True,16.0,4.6
Food & drink,St Albans Hotel,Pub,"5 McKechnie St, St Albans VIC 3021, Australia",Brimbank,St Albans,https://www.google.com/maps/search/?api=1&query=St%20Albans%20Hotel&query_place_id=ChIJq6rqOJpf1moRIFddn4ubVIc,https://www.thestalbans.com.au/,,+61 3 9366 2066,-37.7461827,144.8003094,False,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,,,,,True,True,True,True,True,,927.0,4.3
Services,Drummond Street Services,Mental health service,"100 Drummond St, Carlton VIC 3053, Australia",Melbourne,Carlton,https://www.google.com/maps/search/?api=1&query=Drummond%20Street%20Services&query_place_id=ChIJ10srFdFC1moRjAwGaAOnsOU,http://www.ds.org.au/,,+61 3 9663 6733,-37.8043894,144.9681606,False,9 AM to 5 PM,9 AM to 7 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,True,,,True,True,True,True,True,12.0,4.5
Services,Archer House Studio,Interior designer,,Cardinia,,https://www.google.com/maps/search/?api=1&query=Archer%20House%20Studio&query_place_id=ChIJ4YxZR2WzuYwRGpBl_-piNAk,https://archerhousestudio.com.au/,,+61 481 353 483,-38.1180797,145.4193714,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,,,,,,,
Lodging,BIG4 Mornington Peninsula Holiday Park - Frankston,Hotel,"Frankston Holiday Village, 2 Robinsons Rd, Frankston South VIC 3199, Australia",Frankston,Frankston South,https://www.google.com/maps/search/?api=1&query=BIG4%20Mornington%20Peninsula%20Holiday%20Park%20-%20Frankston&query_place_id=ChIJ3_JkRbQK1moRQ0mvFR5PtC8,https://www.big4.com.au/caravan-parks/vic/mornington-peninsula/mornington-peninsula-holiday-park,,+61 1800 623 491,-38.1744053,145.1412609,False,,,,,,,,,True,,,,True,True,True,True,,289.0,4.3
Lodging,Novotel Melbourne Preston,Hotel,"215 Bell St, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=Novotel%20Melbourne%20Preston&query_place_id=ChIJQ1yPpCBF1moRplXOaaSoWro,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B3K5&merchantid=seo-maps-AU-B3K5&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,,+61 3 9485 1000,-37.7461191,145.0083717,False,,,,,,,,,,True,,,,,,,,325.0,4.2
Food & drink,Lah Bros Windsor | Modern Nepalese Restaurant,Restaurant,"119 Chapel St, Windsor VIC 3181, Australia",Stonnington,Windsor,https://www.google.com/maps/search/?api=1&query=Lah%20Bros%20Windsor%20%7C%20Modern%20Nepalese%20Restaurant&query_place_id=ChIJCe1YZ5Vp1moRC0SiyYfmbY4,http://lahbros.com.au/,,+61 3 9421 6215,-37.8537085,144.9928203,False,Closed,5:30 to 9:30 PM,5:30 to 9:30 PM,"12 to 2:30 PM, 5:30 to 9:30 PM","12 to 2:30 PM, 5:30 to 10 PM","12 to 2:30 PM, 5:30 to 10 PM","12 to 2:30 PM, 5:30 to 9:30 PM",False,True,True,,,,,,,,365.0,5.0
Services,Mariljohn Pty Ltd,Kitchen remodeler,"1 Lawson Cres, Thomastown VIC 3074, Australia",Whittlesea,Thomastown,https://www.google.com/maps/search/?api=1&query=Mariljohn%20Pty%20Ltd&query_place_id=ChIJ612Kv8831moR3iSoXibuGog,http://mariljohn.com.au/,,+61 3 9460 3421,-37.6918348,144.9898407,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,,True,,,11.0,4.6
Food & drink,Roma Ristorante,Restaurant,"120 Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Roma%20Ristorante&query_place_id=ChIJkwikizRD1moRoGO1Vb-lOx8,http://www.romamelbourne.com.au/,,+61 3 9989 1314,-37.8139627,144.9690002,False,Closed,11:30 AM to 10:30 PM,11:30 AM to 10:30 PM,11:30 AM to 10:30 PM,11:30 AM to 10:30 PM,11:30 AM to 10:30 PM,Closed,,,,,,,,,,,62.0,4.4
Automotive,Berwick BMW,BMW dealer,"6 Coventry Rd, Narre Warren VIC 3805, Australia",Casey,Narre Warren,https://www.google.com/maps/search/?api=1&query=Berwick%20BMW&query_place_id=ChIJN7LA4k0R1moRHbojimEYYJM,https://www.berwickbmw.com.au/,,+61 3 8763 4500,-38.0264026,145.3116343,False,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,7:30 AM to 5:30 PM,9 AM to 5 PM,Closed,,,,,,True,True,True,,,1033.0,4.8
Shopping,Connor Karingal Hub,Clothing store,"Karingal Hub Shopping Centre, Shop S074/330 Cranbourne Rd, Frankston VIC 3199, Australia",Frankston,Frankston,https://www.google.com/maps/search/?api=1&query=Connor%20Karingal%20Hub&query_place_id=ChIJ069nfjEL1moR73zr_nWVLWU,https://www.connor.com.au/au/store/karingal,,+61 3 7007 8072,-38.1518874,145.1652006,False,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 5 PM,10 AM to 5 PM,,,,,,True,True,True,,,44.0,4.6
Services,First Class Hospitality,Consultant,"Office 1286/470 St Kilda Rd, Melbourne VIC 3004, Australia",Port Phillip,Melbourne,https://www.google.com/maps/search/?api=1&query=First%20Class%20Hospitality&query_place_id=ChIJB6i0gcBp1moRJZjhgCBedP0,https://www.firstclasshospitality.com.au/,,+61 421 082 097,-37.8412344,144.9766998,False,,,,,,,,,,,,,,,,,,,
Entertainment & recreation,The Hoppers Club,Social club,"180-200 Pannam Dr, Hoppers Crossing VIC 3029, Australia",Wyndham,Hoppers Crossing,https://www.google.com/maps/search/?api=1&query=The%20Hoppers%20Club&query_place_id=ChIJJX5SD0qP1moRtPbXaFPpE9o,https://www.hoppersclub.com.au/,,+61 3 9749 4844,-37.8695626,144.692349,False,10 AM to 12 AM,10 AM to 12 AM,10 AM to 1 AM,10 AM to 1 AM,10 AM to 2 AM,10 AM to 2 AM,11 AM to 12 AM,,,,,,True,True,True,True,True,785.0,4.0
Food & drink,Foodwithatwist,Caterer,"3 Lamonda St, Tarneit VIC 3029, Australia",Wyndham,Tarneit,https://www.google.com/maps/search/?api=1&query=Foodwithatwist&query_place_id=ChIJdd28asKP1moRjcsgtc4Kt4Q,http://www.foodwithatwist.com.au/,,+61 459 626 728,-37.8266393,144.6801231,False,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,,,,,,True,,True,,,93.0,4.9
Food & drink,Tasty Food House,Halal restaurant,"13 Douglas St, Noble Park VIC 3174, Australia",Greater Dandenong,Noble Park,https://www.google.com/maps/search/?api=1&query=Tasty%20Food%20House&query_place_id=ChIJZyowPyoV1moRo8ktMdOPvLU,https://tastyfoodhouseonline.com.au/,,+61 447 194 020,-37.9657518,145.1739923,False,9 AM to 9 PM,Closed,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,,True,True,,,True,,True,,,211.0,4.8
Food & drink,LOT 88 on the park,Cafe,"11-15 Smeaton Ave, Dandenong South VIC 3175, Australia",Greater Dandenong,Dandenong South,https://www.google.com/maps/search/?api=1&query=LOT%2088%20on%20the%20park&query_place_id=ChIJxStW08kT1moRrzQa0m7tkuA,http://www.lot88onthepark.com.au/,,+61 3 8783 0188,-38.0065405,145.2005469,False,6:30 AM to 3 PM,6:30 AM to 3 PM,6:30 AM to 3 PM,6:30 AM to 3 PM,6:30 AM to 3 PM,Closed,Closed,,True,True,,,True,True,True,True,True,270.0,4.6
Food & drink,Federal Hospitality Equipment Pty. Ltd. (VIC),Restaurant supply store,"1 Efficient Dr, Truganina VIC 3029, Australia",Melton,Truganina,https://www.google.com/maps/search/?api=1&query=Federal%20Hospitality%20Equipment%20Pty.%20Ltd.%20(VIC)&query_place_id=ChIJR-0tfPVg1moRa7ysigZPvsU,https://www.foodequipment.com.au/,,+61 1300 415 244,-37.8085947,144.7391937,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,115.0,4.4
Food & drink,Enter Via Laundry,Restaurant,"507 Nicholson St, Carlton North VIC 3054, Australia",Yarra,Carlton North,https://www.google.com/maps/search/?api=1&query=Enter%20Via%20Laundry&query_place_id=ChIJSzBSfeJD1moR0st6EB74tmk,https://entervialaundry.com.au/,,+61 483 373 804,-37.7875822,144.976443,False,Closed,Closed,6 to 10:30 PM,6 to 11 PM,6 to 11 PM,6 to 11 PM,Closed,,,,,,,,,,,241.0,4.4
Business & manufacturing,My Local Foodie,Corporate office,"level 1/115 Thistlethwaite St, South Melbourne VIC 3205, Australia",Port Phillip,South Melbourne,https://www.google.com/maps/search/?api=1&query=My%20Local%20Foodie&query_place_id=ChIJb3hXFPpn1moRh7LNBWBjJmY,http://mylocalfoodie.com.au/,,+61 1300 382 073,-37.8324989,144.9502496,False,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,Closed,Closed,,,,,,True,,True,,,10.0,5.0
Food & drink,PIZZA CLUB TARNEIT,Pizza Takeout,"Shop 3/1035 Dohertys Rd, Tarneit VIC 3029, Australia",Wyndham,Tarneit,https://www.google.com/maps/search/?api=1&query=PIZZA%20CLUB%20TARNEIT&query_place_id=ChIJv2KmNdWP1moRpNclX1iDy48,https://pizza-club-tarneit.nextorder.com/,,+61 3 9119 0657,-37.82047,144.6924691,False,4 PM to 1 AM,4 PM to 1 AM,4 PM to 1 AM,4 PM to 2 AM,4 PM to 2 AM,4 PM to 2 AM,4 PM to 2 AM,,True,,,,True,True,True,,,348.0,3.7
Lodging,Holiday Inn Dandenong by IHG,Hotel,"50-52 McCrae St, Dandenong VIC 3175, Australia",Greater Dandenong,Dandenong,https://www.google.com/maps/search/?api=1&query=Holiday%20Inn%20Dandenong%20by%20IHG&query_place_id=ChIJ5TGtewYU1moR6EYA_s1Y10I,https://www.ihg.com/holidayinn/hotels/us/en/dandenong/meldg/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-AU-_-MELDG,,+61 3 8908 0000,-37.9879817,145.2167139,False,,,,,,,,,,,,,,,,,,364.0,4.5
Food & drink,Wheelers Hill Hotel,Pub,"871-881 Ferntree Gully Rd, Wheelers Hill VIC 3150, Australia",Monash,Wheelers Hill,https://www.google.com/maps/search/?api=1&query=Wheelers%20Hill%20Hotel&query_place_id=ChIJBamtxik-1moRh1xtsqzWfIQ,https://www.wheelershillhotel.com.au/,,+61 3 9560 8922,-37.9065032,145.1901092,False,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,,True,,,,True,True,True,True,True,2380.0,4.0
Automotive,Berwick Mazda,Mazda dealer,"3 Prestige Pl, Narre Warren VIC 3805, Australia",Casey,Narre Warren,https://www.google.com/maps/search/?api=1&query=Berwick%20Mazda&query_place_id=ChIJ4cIk1QEa1moRCWJ7lFPt3EM,https://www.berwickmazda.com.au/,,+61 3 8796 6222,-38.0260236,145.3174637,False,8:30 AM to 5 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,,,,,,True,True,True,,,1384.0,4.6
Education,Complete Hospitality Training - Melbourne,Training center,"Level 3/28 Elizabeth St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Complete%20Hospitality%20Training%20-%20Melbourne&query_place_id=ChIJDbNPcLRC1moR00NHPj8TcRw,https://cht.edu.au/,,+61 3 9654 1554,-37.8173269,144.9648461,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,True,,,,,,,,477.0,4.8
Other,menumiz,Software company,"121 King St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=menumiz&query_place_id=ChIJY7GhpndbkWsRF7rJCClStDE,https://www.menumiz.com/,,+61 3 7071 3000,-37.817251,144.955775,False,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,,,True,True,,,,12.0,4.7
Food & drink,Kathmandu Momo and Curry House - Preston Nepalese and Indian Restaurant,Nepalese restaurant,"523 High St, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=Kathmandu%20Momo%20and%20Curry%20House%20-%20Preston%20Nepalese%20and%20Indian%20Restaurant&query_place_id=ChIJn4ACQP9E1moRp8nATsOnHZA,https://kathmandumomoandcurryhouse.com.au/,,+61 3 9470 4700,-37.7364874,145.0040971,False,3 to 10 PM,Closed,3 to 10 PM,3 to 10 PM,3 to 10 PM,1 to 10 PM,1 to 10 PM,,True,,,,,,,,,280.0,4.1
Education,Complete Hospitality Training - Melbourne,Training center,"Level 3/28 Elizabeth St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Complete%20Hospitality%20Training%20-%20Melbourne&query_place_id=ChIJDbNPcLRC1moR00NHPj8TcRw,https://cht.edu.au/,,+61 3 9654 1554,-37.8173269,144.9648461,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,True,,,,,,,,477.0,4.8
Food & drink,Monash Hotel,Pub,"2077 Dandenong Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Monash%20Hotel&query_place_id=ChIJ3_TF0NJq1moRIVAqEOzM5pA,https://www.monashhotel.com.au/,,+61 3 9544 8011,-37.9199293,145.1377489,False,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,,,,True,True,True,True,True,True,,631.0,4.2
Shopping,Carpet Call Notting Hill Head Office,Flooring store,"65 Normanby Rd, Notting Hill VIC 3168, Australia",Monash,Notting Hill,https://www.google.com/maps/search/?api=1&query=Carpet%20Call%20Notting%20Hill%20Head%20Office&query_place_id=ChIJeXfjqrVq1moRJ_agZPj_oNg,https://www.carpetcall.com.au/find-a-store/vic/notting-hill/?utm_source=google&utm_medium=organic_search&utm_campaign=gmb&utm_term=notting_hill&utm_content=website,,+61 3 9913 0398,-37.9051801,145.134778,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,26.0,3.1
Food & drink,N&M Catering and Event Party Hire,Caterer,"1/16 McDougall Rd, Sunbury VIC 3429, Australia",Hume,Sunbury,https://www.google.com/maps/search/?api=1&query=N%26M%20Catering%20and%20Event%20Party%20Hire&query_place_id=ChIJK0BL6ef51moRR401sQgPd9c,http://www.nmcatering.com.au/,,+61 3 9740 7283,-37.5897046,144.7182983,False,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,,,,,,True,True,True,,,87.0,4.8
Lodging,Executive Stay,Serviced accommodation,"27 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Executive%20Stay&query_place_id=ChIJT7A8DV5D1moRhmC82eHuWl0,https://executivestay.com.au/,,+61 451 130 000,-37.81278,144.972668,False,,,,,,,,,,,,,,,,,,11.0,3.5
Entertainment & recreation,EventBookings,Event ticket seller,"29 Pacific Dr, Keysborough VIC 3173, Australia",Greater Dandenong,Keysborough,https://www.google.com/maps/search/?api=1&query=EventBookings&query_place_id=ChIJex97CaoT1moRaOa9raCfsnw,https://www.eventbookings.com/,,+61 1300 508 450,-38.0136138,145.1822074,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,,True,False,False,54.0,4.7
Food & drink,Comcater Head Office,Kitchen supply store,"191 Salmon St, Port Melbourne VIC 3207, Australia",Melbourne,Port Melbourne,https://www.google.com/maps/search/?api=1&query=Comcater%20Head%20Office&query_place_id=ChIJYW1LL4aK1moRWs9JpPY1itw,https://www.comcater.com.au/,,+61 3 8369 4600,-37.8247838,144.9204092,False,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,Closed,Closed,,,,,,True,True,True,,,21.0,1.9
